Entrez ID	Type
1039	best inferred
1038	best inferred
1036	best inferred
3696	best inferred
3698	best inferred
3699	best inferred
1054	best inferred
1052	landmark
1051	best inferred
1050	landmark
1047	best inferred
1066	best inferred
2395	best inferred
1063	best inferred
1062	landmark
1060	best inferred
11108	best inferred
11107	best inferred
1059	best inferred
1058	best inferred
114112	best inferred
11100	best inferred
85377	landmark
11102	best inferred
11104	best inferred
11103	best inferred
1075	best inferred
1071	best inferred
25758	best inferred
1070	landmark
11119	best inferred
11118	best inferred
1069	best inferred
11113	best inferred
85363	best inferred
11117	best inferred
85360	best inferred
11116	best inferred
84061	best inferred
84060	best inferred
84065	best inferred
84079	best inferred
11060	best inferred
11062	best inferred
11065	landmark
11064	best inferred
63982	best inferred
23046	best inferred
23047	best inferred
23048	best inferred
23049	best inferred
23040	best inferred
23041	best inferred
23042	best inferred
23043	best inferred
11067	best inferred
11066	best inferred
11069	best inferred
138046	best inferred
11068	best inferred
11070	best inferred
11072	landmark
11074	best inferred
11073	landmark
11076	best inferred
11075	best inferred
23057	best inferred
23059	best inferred
23051	best inferred
138050	best inferred
23052	best inferred
23053	best inferred
23054	best inferred
11079	best inferred
151011	best inferred
11041	landmark
11040	best inferred
11043	best inferred
23023	best inferred
23024	best inferred
114049	best inferred
23025	best inferred
23026	best inferred
23028	best inferred
23029	landmark
23020	best inferred
23022	best inferred
11045	best inferred
11044	landmark
11047	best inferred
11046	best inferred
11052	best inferred
11054	best inferred
23034	best inferred
23035	best inferred
23036	best inferred
23037	best inferred
23038	landmark
23039	landmark
23030	best inferred
23031	best inferred
23032	best inferred
126017	best inferred
23033	best inferred
11056	best inferred
11057	best inferred
11059	best inferred
11021	best inferred
11020	best inferred
23001	best inferred
23002	best inferred
26994	best inferred
23005	best inferred
23007	best inferred
23008	best inferred
26999	best inferred
26993	landmark
11022	best inferred
11025	best inferred
11027	best inferred
11026	best inferred
11030	best inferred
11031	landmark
23012	best inferred
23013	landmark
23014	landmark
23015	best inferred
23016	best inferred
23017	best inferred
23019	best inferred
23011	landmark
11034	best inferred
11033	best inferred
11037	best inferred
126070	best inferred
26973	best inferred
11009	best inferred
11001	best inferred
11000	landmark
11005	best inferred
11004	landmark
85352	best inferred
11007	landmark
11006	best inferred
11010	best inferred
26986	best inferred
26984	best inferred
11019	best inferred
114088	best inferred
11012	best inferred
11011	landmark
11014	landmark
11015	best inferred
11018	best inferred
11017	best inferred
63901	best inferred
63910	best inferred
63906	best inferred
63920	best inferred
63923	best inferred
63925	best inferred
63924	best inferred
63916	best inferred
63917	best inferred
50615	best inferred
50619	best inferred
50618	best inferred
63932	best inferred
63931	best inferred
63934	best inferred
63933	landmark
63935	best inferred
3704	best inferred
3705	best inferred
63926	best inferred
3706	best inferred
63929	best inferred
3707	best inferred
63928	best inferred
3708	best inferred
3709	best inferred
3702	best inferred
50626	best inferred
3703	best inferred
50628	best inferred
151050	best inferred
23089	best inferred
63941	best inferred
63940	best inferred
63943	best inferred
23081	best inferred
3716	best inferred
23082	best inferred
100272228	best inferred
3717	best inferred
3718	best inferred
23085	best inferred
23086	best inferred
3710	best inferred
50632	best inferred
3712	best inferred
3713	best inferred
3714	best inferred
23080	best inferred
3726	best inferred
23092	best inferred
3727	best inferred
23093	best inferred
3728	best inferred
23094	best inferred
23095	best inferred
23096	best inferred
23097	landmark
23099	best inferred
3720	best inferred
23090	best inferred
3725	landmark
23091	best inferred
11081	best inferred
11080	best inferred
50649	best inferred
11083	best inferred
11082	best inferred
11085	best inferred
23067	best inferred
23060	best inferred
23061	landmark
23062	best inferred
23063	best inferred
23064	best inferred
23065	best inferred
23066	best inferred
50650	best inferred
3730	best inferred
3732	best inferred
3735	best inferred
3736	best inferred
11092	best inferred
11094	best inferred
11096	best inferred
63970	best inferred
11095	best inferred
11098	landmark
3750	best inferred
11097	best inferred
23078	best inferred
63974	best inferred
23070	best inferred
3749	best inferred
23071	best inferred
23074	best inferred
23075	best inferred
23076	landmark
23077	landmark
3741	best inferred
11099	best inferred
3745	best inferred
3746	best inferred
285672	best inferred
3760	best inferred
3761	best inferred
3759	best inferred
3751	best inferred
3752	best inferred
3755	best inferred
3757	best inferred
3772	best inferred
1107	best inferred
1105	best inferred
1104	best inferred
1102	best inferred
1101	best inferred
284325	best inferred
3763	best inferred
100128640	best inferred
3764	best inferred
3765	best inferred
3766	best inferred
3768	best inferred
1108	best inferred
3780	best inferred
3781	best inferred
3782	best inferred
3783	best inferred
1121	best inferred
1120	best inferred
1117	best inferred
1116	best inferred
1114	best inferred
1113	best inferred
2444	best inferred
1112	best inferred
1111	landmark
3773	best inferred
3775	landmark
3776	best inferred
3777	best inferred
3778	best inferred
3779	best inferred
1119	best inferred
3790	best inferred
3791	best inferred
1130	best inferred
1124	best inferred
1123	landmark
1122	best inferred
3784	best inferred
3785	best inferred
1140	best inferred
3795	best inferred
3796	best inferred
3797	best inferred
3798	best inferred
3799	best inferred
1154	best inferred
1153	landmark
1152	best inferred
2483	best inferred
1149	best inferred
1147	best inferred
2475	best inferred
50805	best inferred
50807	best inferred
50809	best inferred
1164	best inferred
2495	best inferred
1163	best inferred
2494	best inferred
1161	best inferred
1160	best inferred
2491	best inferred
2487	best inferred
1155	best inferred
50810	landmark
284352	best inferred
50813	landmark
50814	landmark
1176	best inferred
1175	best inferred
1174	best inferred
1173	best inferred
23207	best inferred
23208	best inferred
23209	best inferred
25862	best inferred
1186	best inferred
23200	landmark
25861	best inferred
1185	best inferred
23201	best inferred
25864	best inferred
1184	best inferred
1183	best inferred
23203	best inferred
1182	best inferred
23204	best inferred
25865	best inferred
1181	best inferred
23205	best inferred
11228	best inferred
11221	best inferred
84168	best inferred
11222	best inferred
84162	best inferred
11224	best inferred
84164	best inferred
11226	best inferred
23218	best inferred
23219	best inferred
11230	landmark
1198	best inferred
23210	landmark
25873	best inferred
23211	best inferred
1196	best inferred
23212	landmark
25875	best inferred
23213	best inferred
25874	landmark
23214	best inferred
1193	best inferred
23215	best inferred
1192	best inferred
23216	best inferred
1191	best inferred
23217	best inferred
25878	best inferred
84159	landmark
11232	landmark
11231	best inferred
11234	best inferred
11236	best inferred
11235	best inferred
11238	best inferred
11237	best inferred
25847	best inferred
25849	best inferred
25840	best inferred
25842	best inferred
25841	best inferred
25844	best inferred
84187	best inferred
11201	best inferred
11200	landmark
25859	best inferred
25852	best inferred
25855	best inferred
25854	best inferred
11219	best inferred
11212	best inferred
84179	best inferred
139322	best inferred
11211	best inferred
11214	best inferred
11213	best inferred
11216	best inferred
11215	best inferred
25825	landmark
25828	best inferred
25827	best inferred
25829	best inferred
25820	best inferred
25822	best inferred
25821	best inferred
130916	best inferred
114034	best inferred
25837	best inferred
25836	best inferred
25839	landmark
84193	best inferred
25830	best inferred
25834	best inferred
115353	best inferred
84196	best inferred
25804	best inferred
25803	landmark
25805	landmark
25807	best inferred
25809	best inferred
25800	best inferred
25802	best inferred
25801	best inferred
440352	best inferred
25814	best inferred
25816	best inferred
25819	best inferred
200734	landmark
25813	best inferred
11180	best inferred
154881	best inferred
11182	landmark
11184	best inferred
11183	best inferred
11186	best inferred
23166	best inferred
23167	best inferred
23168	best inferred
23169	best inferred
23160	best inferred
23161	landmark
23162	best inferred
23163	best inferred
23164	best inferred
23165	best inferred
11188	landmark
11187	best inferred
11189	best inferred
11191	best inferred
11190	best inferred
404672	best inferred
13	best inferred
11193	best inferred
14	best inferred
16	landmark
11197	best inferred
18	best inferred
11196	best inferred
19	best inferred
23177	best inferred
23178	best inferred
23179	best inferred
23170	best inferred
23171	best inferred
23172	best inferred
23173	best inferred
23174	best inferred
23175	best inferred
23176	best inferred
11199	best inferred
11198	best inferred
20	best inferred
21	best inferred
22	best inferred
23	landmark
11160	best inferred
25	landmark
11162	best inferred
11161	best inferred
29	best inferred
11163	best inferred
23144	best inferred
23148	best inferred
23149	landmark
23140	best inferred
23141	best inferred
23142	landmark
11166	best inferred
11165	best inferred
11168	landmark
11167	best inferred
30	landmark
11169	best inferred
31	best inferred
32	best inferred
33	best inferred
34	best inferred
35	best inferred
11171	best inferred
36	best inferred
11170	best inferred
37	best inferred
38	best inferred
39	landmark
11174	best inferred
23155	best inferred
23157	best inferred
23158	best inferred
23150	best inferred
23151	best inferred
23152	best inferred
23154	best inferred
11177	best inferred
11176	best inferred
11179	best inferred
11178	best inferred
40	best inferred
41	best inferred
43	best inferred
47	landmark
48	best inferred
11140	best inferred
11142	landmark
11141	best inferred
23122	best inferred
25787	best inferred
23125	best inferred
25786	best inferred
23126	best inferred
25789	best inferred
23127	best inferred
25788	best inferred
23129	best inferred
85458	best inferred
25780	best inferred
85459	best inferred
23120	best inferred
25782	best inferred
11143	best inferred
11146	best inferred
84124	best inferred
85452	best inferred
50	best inferred
11145	best inferred
85453	best inferred
51	best inferred
52	best inferred
11147	best inferred
53	best inferred
54	best inferred
55	best inferred
59	best inferred
11151	landmark
11153	best inferred
11152	best inferred
23133	best inferred
25796	best inferred
23135	best inferred
23136	best inferred
25797	best inferred
23137	best inferred
23138	best inferred
25799	best inferred
402055	best inferred
23139	landmark
25790	best inferred
25792	best inferred
23130	best inferred
23131	landmark
23132	best inferred
25793	landmark
85446	best inferred
11155	best inferred
11154	best inferred
60	best inferred
11157	landmark
11156	best inferred
23108	best inferred
23109	best inferred
11120	best inferred
23102	best inferred
25769	best inferred
23107	best inferred
11129	best inferred
84148	best inferred
11122	best inferred
70	best inferred
11124	best inferred
72	best inferred
11123	best inferred
11126	best inferred
11127	best inferred
23119	best inferred
11131	best inferred
11130	best inferred
23111	best inferred
23112	best inferred
23113	best inferred
25776	best inferred
23114	best inferred
25778	best inferred
23116	best inferred
25777	best inferred
23117	best inferred
23118	best inferred
25771	best inferred
11133	best inferred
81	best inferred
11132	best inferred
11135	best inferred
11137	landmark
86	best inferred
87	best inferred
11138	best inferred
88	best inferred
89	best inferred
90	best inferred
91	best inferred
92	best inferred
94	best inferred
97	best inferred
98	best inferred
728661	best inferred
50717	best inferred
261734	best inferred
3800	landmark
3801	best inferred
261726	best inferred
222161	best inferred
3815	landmark
3816	best inferred
3818	best inferred
3820	best inferred
3823	best inferred
3824	best inferred
3836	best inferred
3837	best inferred
3838	best inferred
3839	best inferred
3831	best inferred
3832	best inferred
3833	best inferred
3835	best inferred
3848	best inferred
3849	best inferred
2512	best inferred
284403	best inferred
3840	best inferred
3841	best inferred
3842	best inferred
3843	best inferred
2517	best inferred
3845	best inferred
23189	best inferred
3858	best inferred
23180	best inferred
2525	best inferred
23181	best inferred
2524	best inferred
2523	landmark
2521	best inferred
23185	best inferred
23186	best inferred
23187	best inferred
3852	best inferred
3853	best inferred
3854	best inferred
3855	best inferred
2528	best inferred
3856	best inferred
3857	best inferred
728642	best inferred
23199	best inferred
2537	best inferred
23191	best inferred
23192	best inferred
2535	best inferred
23193	best inferred
1203	best inferred
2534	landmark
23194	best inferred
2533	best inferred
23195	best inferred
1201	best inferred
2532	best inferred
23196	best inferred
1200	best inferred
2531	best inferred
23197	best inferred
2530	best inferred
23198	best inferred
3861	best inferred
1209	best inferred
2539	best inferred
1207	best inferred
3868	best inferred
23190	best inferred
25903	best inferred
25907	best inferred
3880	best inferred
25906	best inferred
3881	best inferred
25909	best inferred
3882	best inferred
2551	best inferred
2550	best inferred
25901	best inferred
25900	best inferred
2548	landmark
2547	best inferred
1215	best inferred
1213	landmark
1212	landmark
2543	best inferred
1211	best inferred
2542	landmark
3872	best inferred
3875	best inferred
2549	best inferred
25913	best inferred
25915	best inferred
2562	best inferred
1230	best inferred
2560	best inferred
2558	best inferred
2557	best inferred
2556	best inferred
2555	best inferred
2554	best inferred
2553	landmark
1241	best inferred
2572	best inferred
1240	best inferred
2571	best inferred
2568	best inferred
1236	best inferred
2567	best inferred
2566	best inferred
1234	best inferred
1233	best inferred
2564	best inferred
2563	best inferred
3895	landmark
3897	best inferred
3898	best inferred
2584	best inferred
2583	best inferred
2582	landmark
2581	best inferred
2580	best inferred
1244	best inferred
1264	best inferred
1263	best inferred
2593	best inferred
2592	best inferred
2591	best inferred
2590	best inferred
1259	best inferred
2589	best inferred
2588	best inferred
2585	best inferred
1272	best inferred
1269	best inferred
1268	best inferred
1267	best inferred
1266	best inferred
2597	landmark
1265	best inferred
2596	best inferred
284001	best inferred
1286	best inferred
1285	best inferred
1284	best inferred
1282	landmark
1281	best inferred
1278	best inferred
1277	landmark
50937	best inferred
1297	best inferred
1296	best inferred
1295	best inferred
1294	best inferred
1293	best inferred
1292	best inferred
1291	best inferred
1290	best inferred
440073	best inferred
1289	best inferred
1288	best inferred
1287	best inferred
50943	best inferred
23328	best inferred
23329	best inferred
11340	best inferred
25983	best inferred
23321	landmark
23322	best inferred
25984	best inferred
23324	best inferred
25987	landmark
23325	landmark
23326	landmark
23327	best inferred
25988	best inferred
10019	best inferred
10018	best inferred
1299	best inferred
1298	best inferred
25980	best inferred
11342	best inferred
10010	best inferred
11341	best inferred
10013	landmark
11344	landmark
11343	best inferred
84288	best inferred
10015	best inferred
11346	best inferred
10014	best inferred
11345	best inferred
10017	best inferred
10016	best inferred
23339	best inferred
10020	best inferred
23331	best inferred
25994	best inferred
23332	best inferred
23333	best inferred
25996	best inferred
23334	best inferred
23335	landmark
25998	best inferred
23336	best inferred
23338	landmark
25999	best inferred
25992	best inferred
10024	best inferred
10023	best inferred
10026	best inferred
84272	best inferred
10025	best inferred
84271	best inferred
23306	best inferred
23307	best inferred
23308	best inferred
23309	best inferred
25961	best inferred
116986	best inferred
25960	best inferred
116985	best inferred
23300	landmark
25963	best inferred
23301	best inferred
116987	best inferred
23302	best inferred
114327	best inferred
23303	best inferred
644096	best inferred
23304	best inferred
23305	best inferred
25966	landmark
11328	best inferred
11329	best inferred
11320	best inferred
11322	best inferred
11321	best inferred
11326	best inferred
11325	landmark
23317	best inferred
23318	best inferred
25979	best inferred
25972	best inferred
23310	best inferred
25974	best inferred
23312	best inferred
440026	best inferred
23313	best inferred
25976	landmark
23314	best inferred
25975	best inferred
23315	best inferred
25978	best inferred
23316	best inferred
25977	best inferred
11339	best inferred
10007	landmark
11338	best inferred
10009	best inferred
25970	best inferred
116984	best inferred
10000	best inferred
11331	best inferred
11333	best inferred
10001	best inferred
11332	best inferred
10004	best inferred
11335	best inferred
10003	best inferred
11334	best inferred
10006	best inferred
84296	best inferred
284021	best inferred
10005	best inferred
11336	best inferred
25949	best inferred
25948	best inferred
25941	best inferred
25940	best inferred
25945	best inferred
11309	best inferred
25957	best inferred
140609	best inferred
25959	best inferred
25950	best inferred
25956	best inferred
11316	best inferred
11319	landmark
11311	best inferred
11313	best inferred
11315	best inferred
11314	best inferred
25924	best inferred
25926	best inferred
25928	best inferred
126353	best inferred
25920	best inferred
25936	best inferred
25937	best inferred
25939	best inferred
25932	landmark
23287	best inferred
23288	best inferred
126299	best inferred
23281	best inferred
23283	best inferred
23284	best inferred
23285	best inferred
140597	best inferred
23286	best inferred
23299	best inferred
23291	best inferred
23293	best inferred
23294	best inferred
23295	best inferred
11282	best inferred
11285	best inferred
11284	landmark
23265	best inferred
23266	best inferred
23268	best inferred
23269	best inferred
23262	best inferred
23263	best inferred
23264	best inferred
84223	best inferred
23276	best inferred
23277	best inferred
23279	best inferred
59272	best inferred
23270	best inferred
23271	landmark
23272	best inferred
23274	best inferred
23275	best inferred
11261	landmark
11260	best inferred
11262	best inferred
23243	best inferred
23244	landmark
59286	best inferred
200424	best inferred
23245	best inferred
23246	best inferred
23247	best inferred
23248	best inferred
23240	best inferred
23241	best inferred
23242	best inferred
84243	best inferred
11264	best inferred
11267	best inferred
11266	best inferred
11274	best inferred
11273	best inferred
23254	best inferred
23255	best inferred
23256	best inferred
23258	best inferred
23259	best inferred
23250	best inferred
23251	best inferred
23252	best inferred
23253	best inferred
11276	best inferred
11275	best inferred
11278	best inferred
11279	best inferred
23229	best inferred
49856	best inferred
49855	best inferred
11240	best inferred
23221	best inferred
23223	landmark
23224	landmark
23225	best inferred
25888	best inferred
23228	best inferred
152559	best inferred
23220	best inferred
11243	best inferred
11245	best inferred
11247	best inferred
84263	best inferred
11248	best inferred
11252	best inferred
23232	best inferred
25895	best inferred
23234	best inferred
25897	best inferred
25896	best inferred
23236	best inferred
23237	best inferred
25898	best inferred
23239	best inferred
3902	best inferred
3903	best inferred
25891	best inferred
25890	best inferred
3908	best inferred
23230	best inferred
3909	landmark
23231	best inferred
11254	best inferred
11253	best inferred
11255	best inferred
11258	best inferred
11257	best inferred
151230	best inferred
11259	best inferred
3913	best inferred
3914	best inferred
3915	best inferred
3916	best inferred
3918	best inferred
50833	best inferred
3910	best inferred
3911	best inferred
3912	best inferred
3925	landmark
3927	best inferred
3929	best inferred
3920	best inferred
3921	best inferred
3936	best inferred
3937	best inferred
3939	best inferred
100499177	best inferred
50853	best inferred
3930	landmark
50852	best inferred
3931	best inferred
50855	best inferred
3932	best inferred
50854	best inferred
3934	best inferred
50856	best inferred
50859	best inferred
3949	best inferred
50862	best inferred
50861	best inferred
2619	best inferred
50863	best inferred
2618	best inferred
2617	best inferred
50865	landmark
2615	best inferred
3945	best inferred
2625	landmark
3957	best inferred
2624	landmark
3958	best inferred
3959	best inferred
2622	best inferred
2621	best inferred
2620	best inferred
3952	best inferred
3953	best inferred
2628	best inferred
3954	best inferred
2627	best inferred
3955	best inferred
2626	best inferred
3956	best inferred
1305	best inferred
2634	best inferred
2633	best inferred
2632	best inferred
2631	best inferred
3960	best inferred
3964	landmark
1308	best inferred
2639	best inferred
3965	best inferred
1307	best inferred
1306	best inferred
2637	best inferred
3980	best inferred
100287932	best inferred
3981	best inferred
2650	best inferred
1316	best inferred
1315	best inferred
2646	best inferred
1314	best inferred
2645	best inferred
2644	best inferred
1312	best inferred
2643	best inferred
1311	best inferred
3973	best inferred
3976	best inferred
1318	best inferred
2649	best inferred
3977	best inferred
1317	best inferred
2648	best inferred
3978	landmark
3991	best inferred
3992	best inferred
1327	best inferred
1326	best inferred
1325	best inferred
3983	best inferred
3984	best inferred
3985	best inferred
3987	best inferred
1329	best inferred
3988	landmark
2672	best inferred
1340	best inferred
2671	best inferred
2670	best inferred
2669	best inferred
1337	best inferred
2665	best inferred
2664	best inferred
2662	best inferred
3993	best inferred
3995	best inferred
3996	best inferred
3998	best inferred
1352	best inferred
2683	best inferred
1351	best inferred
1350	best inferred
1349	best inferred
1347	best inferred
2678	best inferred
1346	best inferred
2677	best inferred
1345	best inferred
2675	best inferred
2673	landmark
1363	best inferred
1362	best inferred
2690	landmark
1359	best inferred
1356	best inferred
2687	best inferred
1355	best inferred
1353	best inferred
1374	best inferred
1371	best inferred
1368	best inferred
1366	best inferred
2697	best inferred
1365	best inferred
1364	best inferred
1385	landmark
1384	best inferred
1382	best inferred
1381	best inferred
1380	best inferred
1378	best inferred
1376	best inferred
1396	best inferred
116832	landmark
1394	best inferred
1393	best inferred
1392	best inferred
1390	best inferred
259197	best inferred
1389	best inferred
1388	best inferred
1387	best inferred
1386	best inferred
284119	best inferred
1399	landmark
1398	landmark
1397	best inferred
259173	best inferred
440193	best inferred
10130	best inferred
127544	best inferred
23443	landmark
23446	best inferred
126208	best inferred
10131	landmark
10134	best inferred
10133	best inferred
10135	best inferred
10138	best inferred
10140	best inferred
23452	best inferred
23457	best inferred
23450	best inferred
23451	best inferred
10142	best inferred
10144	best inferred
10147	best inferred
10146	landmark
10149	best inferred
10148	best inferred
23428	best inferred
23429	best inferred
23421	best inferred
23423	best inferred
23424	best inferred
10110	best inferred
10112	landmark
10111	best inferred
10114	best inferred
10113	best inferred
10116	best inferred
23438	best inferred
23431	best inferred
23432	best inferred
23433	best inferred
23435	best inferred
10129	best inferred
10128	best inferred
10121	best inferred
10120	best inferred
10123	landmark
10125	best inferred
10124	best inferred
10127	best inferred
10126	best inferred
23405	best inferred
23406	best inferred
23408	best inferred
23409	best inferred
23400	best inferred
23401	best inferred
23403	best inferred
23404	best inferred
23417	best inferred
23418	best inferred
23410	landmark
23411	best inferred
23412	best inferred
23413	best inferred
23414	best inferred
10106	best inferred
10109	best inferred
10101	best inferred
10100	best inferred
10103	best inferred
10102	best inferred
10105	best inferred
10090	best inferred
10093	best inferred
10092	best inferred
10095	best inferred
10094	best inferred
10097	best inferred
10096	best inferred
138162	best inferred
10099	landmark
10098	best inferred
343071	best inferred
10073	best inferred
10072	best inferred
10075	best inferred
23386	landmark
23387	best inferred
23389	best inferred
728855	best inferred
23380	best inferred
23381	best inferred
23382	best inferred
23383	best inferred
23385	best inferred
10077	best inferred
10076	best inferred
10079	best inferred
10078	best inferred
60370	best inferred
10084	best inferred
10083	best inferred
10085	best inferred
23397	best inferred
23398	best inferred
23399	best inferred
23390	best inferred
23392	best inferred
23394	best inferred
23395	best inferred
23396	best inferred
10087	best inferred
60385	best inferred
10089	best inferred
10051	landmark
10053	best inferred
10052	best inferred
23365	landmark
23366	best inferred
23367	best inferred
23368	landmark
23369	best inferred
23360	best inferred
23361	best inferred
23362	best inferred
23363	best inferred
10055	best inferred
84364	best inferred
10054	best inferred
10057	landmark
10059	landmark
10058	landmark
10060	best inferred
10062	best inferred
10061	best inferred
10063	best inferred
23376	best inferred
23378	landmark
23379	best inferred
23371	best inferred
23373	best inferred
10066	best inferred
10067	best inferred
10069	best inferred
23344	best inferred
23345	best inferred
23347	best inferred
23348	best inferred
23349	best inferred
23341	best inferred
140459	best inferred
10036	best inferred
10039	best inferred
10038	landmark
10040	best inferred
10042	best inferred
23353	best inferred
23354	best inferred
23355	best inferred
23357	best inferred
23358	best inferred
23359	best inferred
200576	best inferred
138151	best inferred
140460	best inferred
140461	best inferred
140462	best inferred
23350	best inferred
23351	best inferred
140465	best inferred
23352	best inferred
10043	best inferred
10046	landmark
10045	best inferred
10048	best inferred
10049	landmark
2702	best inferred
2701	best inferred
2707	best inferred
2705	best inferred
2713	best inferred
2710	best inferred
2719	best inferred
2717	best inferred
59307	best inferred
2720	best inferred
2729	best inferred
1404	best inferred
2735	best inferred
2734	best inferred
2733	best inferred
1400	best inferred
2731	best inferred
2730	best inferred
1408	best inferred
2739	best inferred
1407	best inferred
2737	best inferred
2736	landmark
2746	best inferred
2745	landmark
2744	best inferred
2743	best inferred
60314	best inferred
60313	best inferred
1410	best inferred
60312	best inferred
259217	best inferred
1416	best inferred
2747	best inferred
50999	best inferred
2760	best inferred
259230	best inferred
59339	best inferred
59338	best inferred
2752	best inferred
59336	best inferred
1429	landmark
1428	best inferred
1440	best inferred
2771	landmark
59342	best inferred
2770	landmark
59341	best inferred
59344	best inferred
1437	best inferred
2768	best inferred
1436	best inferred
2767	landmark
59349	best inferred
1435	best inferred
2766	best inferred
1434	best inferred
2764	best inferred
84302	best inferred
1432	best inferred
84301	best inferred
1431	best inferred
2762	best inferred
59348	best inferred
1439	best inferred
1438	best inferred
2769	landmark
2782	best inferred
59353	best inferred
2781	best inferred
2778	landmark
1445	landmark
2776	best inferred
2775	best inferred
2774	best inferred
2773	best inferred
1441	best inferred
60343	best inferred
1462	best inferred
1460	best inferred
2791	best inferred
2790	best inferred
1459	landmark
1457	best inferred
2788	best inferred
1456	best inferred
2787	best inferred
1455	best inferred
2786	best inferred
1454	landmark
2785	best inferred
1453	best inferred
1452	landmark
2783	best inferred
1471	best inferred
1468	best inferred
2799	best inferred
1466	best inferred
1465	landmark
2796	best inferred
1464	best inferred
1463	best inferred
1478	best inferred
1477	best inferred
1476	best inferred
1475	best inferred
1474	best inferred
1495	best inferred
1493	best inferred
1491	best inferred
1490	best inferred
1489	best inferred
1488	best inferred
1487	best inferred
1486	best inferred
441151	best inferred
1499	best inferred
1497	best inferred
1496	best inferred
10250	best inferred
23564	best inferred
23566	best inferred
23568	best inferred
23560	best inferred
10253	best inferred
10252	best inferred
10254	best inferred
10257	best inferred
10256	best inferred
10260	best inferred
10262	best inferred
10261	best inferred
23576	best inferred
10263	best inferred
10266	best inferred
10265	best inferred
10268	best inferred
10267	best inferred
10269	best inferred
23548	best inferred
23549	best inferred
23541	best inferred
23542	best inferred
23543	best inferred
23544	best inferred
23545	best inferred
23547	best inferred
10231	best inferred
10230	best inferred
10233	best inferred
10235	best inferred
10234	best inferred
10237	landmark
10236	best inferred
10240	best inferred
23552	best inferred
23553	best inferred
23554	best inferred
23555	best inferred
23556	best inferred
23558	best inferred
10249	best inferred
23550	best inferred
10242	best inferred
10241	best inferred
10244	best inferred
10243	best inferred
10245	landmark
10248	best inferred
10247	best inferred
23526	best inferred
23527	best inferred
23528	best inferred
23529	best inferred
129642	best inferred
118987	best inferred
23521	best inferred
23522	landmark
23523	best inferred
23524	best inferred
10217	best inferred
10216	best inferred
10219	best inferred
10218	best inferred
10211	best inferred
10210	best inferred
10213	best inferred
10212	best inferred
10215	best inferred
286451	best inferred
23530	landmark
23531	best inferred
23533	best inferred
23534	best inferred
23536	landmark
10228	best inferred
10227	landmark
10229	best inferred
10220	best inferred
10221	landmark
10226	best inferred
23504	best inferred
23505	best inferred
23506	best inferred
23507	best inferred
23508	best inferred
23509	best inferred
23500	best inferred
23503	best inferred
23515	best inferred
23516	best inferred
23517	best inferred
23518	best inferred
23510	best inferred
23511	best inferred
23512	landmark
23513	best inferred
23514	best inferred
10206	landmark
10205	best inferred
10208	best inferred
10207	best inferred
10209	best inferred
10200	best inferred
10201	best inferred
10203	best inferred
58155	best inferred
60489	best inferred
60488	best inferred
60487	best inferred
60485	best inferred
60484	best inferred
60481	best inferred
10190	landmark
10193	best inferred
10196	best inferred
10195	best inferred
10198	best inferred
60496	best inferred
10197	best inferred
60495	best inferred
60494	best inferred
10199	best inferred
60493	landmark
60492	best inferred
60491	best inferred
60490	best inferred
58189	best inferred
58190	best inferred
10170	best inferred
10171	best inferred
10174	landmark
